,device_id,date_time,real_time,speed,b_distance
1961,1.0,365,2016-06-02 06:05:55,23.0,65.8604945342038
1960,1.0,365,2016-06-02 06:05:48,12.0,20.685914155210767
1959,1.0,365,2016-06-02 06:05:41,0.0,12.985419774248612
1958,1.0,365,2016-06-02 06:05:34,21.0,45.32588152025843
3304,2.0,429,2016-06-02 07:09:33,38.0,89.56648113646915
3306,2.0,429,2016-06-02 07:09:54,0.0,28.413046277564675
3305,2.0,429,2016-06-02 07:09:47,26.0,4.1827280405045295
3307,2.0,430,2016-06-02 07:10:07,18.0,45.06466837643377
6424,3.0,442,2016-06-02 07:22:55,27.0,93.81695958958693
6423,3.0,442,2016-06-02 07:22:49,9.0,40.210823684248865
6420,3.0,443,2016-06-02 07:23:12,18.0,28.02039852360304
6422,3.0,443,2016-06-02 07:23:22,11.0,4.806317730592803
6421,3.0,443,2016-06-02 07:23:19,0.0,15.012460752721827
358,4.0,469,2016-06-02 07:49:56,0.0,47.21288619401478
357,4.0,469,2016-06-02 07:49:44,0.0,55.40204111883541
356,4.0,469,2016-06-02 07:49:33,0.0,57.544952395367076
355,4.0,469,2016-06-02 07:49:26,0.0,58.12179860811462
354,4.0,469,2016-06-02 07:49:16,16.0,35.87680299691879
353,4.0,469,2016-06-02 07:49:53,0.0,11.804172827376444
352,4.0,469,2016-06-02 07:49:49,0.0,11.804172827376444
351,4.0,469,2016-06-02 07:49:47,18.0,10.883056741380603
350,4.0,469,2016-06-02 07:49:40,21.0,60.20672156305538
359,4.0,470,2016-06-02 07:50:04,18.0,78.15522154737673
5669,5.0,539,2016-06-02 08:59:51,13.0,56.336749626246366
5668,5.0,539,2016-06-02 08:59:41,11.0,7.36893026270849
5667,5.0,539,2016-06-02 08:59:31,0.0,10.257605205722614
5666,5.0,539,2016-06-02 08:59:21,0.0,10.257605205722614
5665,5.0,539,2016-06-02 08:59:58,9.0,9.443579827927449
5664,5.0,539,2016-06-02 08:59:54,33.0,66.9674726901757
5679,5.0,541,2016-06-02 09:01:33,8.0,89.66450413653047
5670,5.0,541,2016-06-02 09:01:30,0.0,62.79473330141483
5671,5.0,541,2016-06-02 09:01:37,0.0,64.59787293873305
5672,5.0,541,2016-06-02 09:01:44,0.0,69.06433654550975
5674,5.0,541,2016-06-02 09:01:54,0.0,69.06433654550975
5673,5.0,541,2016-06-02 09:01:47,0.0,69.06433654550975
5678,5.0,542,2016-06-02 09:02:15,0.0,82.22571831062764
5677,5.0,542,2016-06-02 09:02:11,0.0,82.2295958427964
5676,5.0,542,2016-06-02 09:02:04,0.0,69.06433654550975
5675,5.0,542,2016-06-02 09:02:01,0.0,69.06433654550975
10224,6.0,544,2016-06-02 09:04:53,0.0,18.171485471758775
10223,6.0,544,2016-06-02 09:04:45,11.0,42.22312295136164
10227,6.0,545,2016-06-02 09:05:36,36.0,90.58294205547641
10225,6.0,545,2016-06-02 09:05:04,0.0,17.088299903708787
10226,6.0,545,2016-06-02 09:05:11,19.0,16.780047631901326
4801,7.0,545,2016-06-02 09:05:31,0.0,59.52110701657863
4797,7.0,545,2016-06-02 09:05:56,19.0,59.52110701657863
4802,7.0,545,2016-06-02 09:05:42,0.0,59.52110701657863
4803,7.0,545,2016-06-02 09:05:53,18.0,59.52110701657863
4806,7.0,546,2016-06-02 09:06:19,0.0,67.13093392576124
4805,7.0,546,2016-06-02 09:06:11,5.0,67.13093392576124
4799,7.0,546,2016-06-02 09:06:07,0.0,59.52110701657863
4800,7.0,546,2016-06-02 09:06:14,0.0,59.52110701657863
4807,7.0,546,2016-06-02 09:06:29,13.0,67.13093392576124
4804,7.0,546,2016-06-02 09:06:00,8.0,67.13093392576124
4808,7.0,546,2016-06-02 09:06:39,16.0,67.13093392576124
4798,7.0,546,2016-06-02 09:06:03,12.0,59.52110701657863
4809,7.0,546,2016-06-02 09:06:49,16.0,67.13093392576124
4810,7.0,547,2016-06-02 09:07:00,0.0,67.13093392576124
4811,7.0,547,2016-06-02 09:07:09,0.0,67.13093392576124
4812,7.0,547,2016-06-02 09:07:19,0.0,67.13093392576124
4813,7.0,547,2016-06-02 09:07:29,0.0,67.13093392576124
4814,7.0,547,2016-06-02 09:07:39,0.0,67.13093392576124
4815,7.0,547,2016-06-02 09:07:49,0.0,67.13093392576124
4816,7.0,547,2016-06-02 09:07:59,14.0,67.13093392576124
2549,1.0,566,2016-06-02 09:26:38,16.0,14.71955529982836
2548,1.0,566,2016-06-02 09:26:35,13.0,63.4478659759572
2554,1.0,566,2016-06-02 09:26:41,11.0,32.27284371517121
2555,1.0,566,2016-06-02 09:26:48,0.0,43.522220890840266
2551,1.0,566,2016-06-02 09:26:13,0.0,7.272256975447005
2550,1.0,566,2016-06-02 09:26:45,0.0,7.272256975447005
2552,1.0,566,2016-06-02 09:26:18,0.0,7.272256975447005
2553,1.0,566,2016-06-02 09:26:32,0.0,7.272256975447005
2556,1.0,566,2016-06-02 09:26:58,0.0,43.522220890840266
2558,1.0,567,2016-06-02 09:27:18,0.0,43.522220890840266
2559,1.0,567,2016-06-02 09:27:28,0.0,43.522220890840266
2557,1.0,567,2016-06-02 09:27:08,0.0,43.522220890840266
2562,1.0,567,2016-06-02 09:27:50,0.0,43.522220890840266
2561,1.0,567,2016-06-02 09:27:44,0.0,43.522220890840266
2560,1.0,567,2016-06-02 09:27:38,0.0,43.522220890840266
2563,1.0,567,2016-06-02 09:27:57,0.0,43.522220890840266
2564,1.0,568,2016-06-02 09:28:06,0.0,43.522220890840266
2566,1.0,568,2016-06-02 09:28:26,5.0,81.45929143045785
2565,1.0,568,2016-06-02 09:28:15,7.0,60.25074027937259
8781,8.0,613,2016-06-02 10:13:52,19.0,68.47487800713144
8787,8.0,613,2016-06-02 10:13:56,22.0,62.64592058308642
8786,8.0,613,2016-06-02 10:13:49,0.0,18.14187209985146
8785,8.0,613,2016-06-02 10:13:42,0.0,4.336872099219676
8783,8.0,613,2016-06-02 10:13:28,14.0,9.316970375569806
8784,8.0,613,2016-06-02 10:13:35,0.0,4.336872099219676
8782,8.0,614,2016-06-02 10:14:00,9.0,38.86994516271295
3937,2.0,633,2016-06-02 10:33:23,0.0,55.33969104490191
3936,2.0,633,2016-06-02 10:33:12,12.0,86.66424502605034
3939,2.0,633,2016-06-02 10:33:42,11.0,8.946437417539892
3938,2.0,633,2016-06-02 10:33:35,6.0,40.41801573535574
3940,2.0,633,2016-06-02 10:33:51,7.0,7.707810423008434
3941,2.0,634,2016-06-02 10:34:02,9.0,24.28353392667479
3942,2.0,634,2016-06-02 10:34:12,0.0,25.107492001458123
3943,2.0,634,2016-06-02 10:34:21,0.0,25.10736988421142
3944,2.0,634,2016-06-02 10:34:32,0.0,25.10736988421142
3945,2.0,634,2016-06-02 10:34:42,0.0,38.52218475341849
3946,2.0,634,2016-06-02 10:34:52,0.0,43.83190420611742
3947,2.0,635,2016-06-02 10:35:02,0.0,44.46075928065865
3948,2.0,635,2016-06-02 10:35:12,0.0,46.130406345022855
3949,2.0,635,2016-06-02 10:35:23,0.0,56.50134934655965
3950,2.0,635,2016-06-02 10:35:32,0.0,59.092329695959464
3951,2.0,635,2016-06-02 10:35:41,0.0,64.19993981028243
3952,2.0,635,2016-06-02 10:35:51,0.0,73.07222204384352
3954,2.0,636,2016-06-02 10:36:11,0.0,92.21712180821032
3953,2.0,636,2016-06-02 10:36:01,0.0,78.50033441956059
3955,2.0,636,2016-06-02 10:36:21,0.0,95.47757483663555
7101,3.0,693,2016-06-02 11:33:11,0.0,41.102792661092344
7102,3.0,693,2016-06-02 11:33:22,13.0,23.06141427402363
7103,3.0,693,2016-06-02 11:33:31,0.0,7.150293158622683
7104,3.0,693,2016-06-02 11:33:38,0.0,4.660007615553375
7105,3.0,693,2016-06-02 11:33:51,8.0,7.063547664158447
7106,3.0,693,2016-06-02 11:33:58,20.0,40.22142117007219
7099,3.0,693,2016-06-02 11:33:44,25.0,99.01856645460867
7100,3.0,693,2016-06-02 11:33:47,8.0,61.14311871962108
7112,3.0,694,2016-06-02 11:34:57,0.0,82.43987654345814
7110,3.0,694,2016-06-02 11:34:38,0.0,76.58462830025684
7111,3.0,694,2016-06-02 11:34:48,0.0,82.3111901229112
7107,3.0,694,2016-06-02 11:34:08,0.0,63.252737956628195
7108,3.0,694,2016-06-02 11:34:18,0.0,66.4568450650646
7109,3.0,694,2016-06-02 11:34:28,0.0,71.52572043674431
7113,3.0,695,2016-06-02 11:35:09,0.0,81.53449782897863
7114,3.0,695,2016-06-02 11:35:17,0.0,80.55006563530225
7115,3.0,695,2016-06-02 11:35:28,0.0,79.7049863055803
7116,3.0,695,2016-06-02 11:35:38,0.0,81.46252891040601
7117,3.0,695,2016-06-02 11:35:48,10.0,91.46159356759176
